% La2004 solution of eccentricity, precession and obliquity
% Obtained from http://vo.imcce.fr/insola/earth/online/earth/online/index.php
% Time (ky)     Eccentricity    Precession    Obliquity 
   -5000.000       0.025781      -0.025148       0.417909
   -4999.000       0.025792      -0.023079       0.418778
   -4998.000       0.025856      -0.019815       0.419284
   -4997.000       0.025991      -0.015368       0.419426
   -4996.000       0.026212      -0.010012       0.419218
   -4995.000       0.026418      -0.003962       0.418679
   -4994.000       0.026697       0.002494       0.417832
   -4993.000       0.027084       0.009042       0.416707
   -4992.000       0.027361       0.015198       0.415340
   -4991.000       0.027796       0.020713       0.413767
   -4990.000       0.028192       0.025044       0.412031
   -4989.000       0.028598       0.027914       0.410179
   -4988.000       0.029039       0.029015       0.408254
   -4987.000       0.029457       0.028136       0.406307
   -4986.000       0.029920       0.025216       0.404386
   -4985.000       0.030338       0.020382       0.402536
   -4984.000       0.030765       0.013856       0.400801
   -4983.000       0.031239       0.006014       0.399224
   -4982.000       0.031642      -0.002500       0.397835
   -4981.000       0.032047      -0.011151       0.396666
   -4980.000       0.032535      -0.019221       0.395736
   -4979.000       0.032884      -0.025981       0.395061
   -4978.000       0.033310      -0.030929       0.394646
   -4977.000       0.033714      -0.033541       0.394494
   -4976.000       0.034083      -0.033532       0.394596
   -4975.000       0.034457      -0.030846       0.394946
   -4974.000       0.034793      -0.025675       0.395528
   -4973.000       0.035159      -0.018277       0.396326
   -4972.000       0.035464      -0.009335       0.397318
   -4971.000       0.035745       0.000522       0.398485
   -4970.000       0.036059       0.010494       0.399799
   -4969.000       0.036327       0.019789       0.401235
   -4968.000       0.036510       0.027574       0.402761
   -4967.000       0.036807       0.033370       0.404348
   -4966.000       0.036969       0.036522       0.405962
   -4965.000       0.037143       0.036860       0.407572
   -4964.000       0.037330       0.034367       0.409142
   -4963.000       0.037469       0.029133       0.410641
   -4962.000       0.037596       0.021609       0.412038
   -4961.000       0.037722       0.012412       0.413303
   -4960.000       0.037796       0.002163       0.414408
   -4959.000       0.037945      -0.008295       0.415329
   -4958.000       0.037946      -0.018119       0.416042
   -4957.000       0.038055      -0.026624       0.416527
   -4956.000       0.038123      -0.033122       0.416768
   -4955.000       0.038118      -0.037022       0.416752
   -4954.000       0.038182      -0.038154       0.416472
   -4953.000       0.038206      -0.036331       0.415923
   -4952.000       0.038198      -0.031624       0.415107
   -4951.000       0.038182      -0.024538       0.414033
   -4950.000       0.038170      -0.015500       0.412717
   -4949.000       0.038126      -0.005172       0.411173
   -4948.000       0.038049       0.005450       0.409433
   -4947.000       0.037955       0.015727       0.407527
   -4946.000       0.037908       0.024736       0.405493
   -4945.000       0.037732       0.031664       0.403376
   -4944.000       0.037602       0.036052       0.401226
   -4943.000       0.037487       0.037487       0.399094
   -4942.000       0.037260       0.035718       0.397041
   -4941.000       0.037089       0.031039       0.395122
   -4940.000       0.036852       0.023775       0.393397
   -4939.000       0.036640       0.014476       0.391925
   -4938.000       0.036351       0.004097       0.390757
   -4937.000       0.036061      -0.006507       0.389938
   -4936.000       0.035782      -0.016489       0.389509
   -4935.000       0.035426      -0.024759       0.389493
   -4934.000       0.035040      -0.030769       0.389906
   -4933.000       0.034713      -0.033998       0.390754
   -4932.000       0.034266      -0.034113       0.392022
   -4931.000       0.033822      -0.031279       0.393684
   -4930.000       0.033397      -0.025860       0.395707
   -4929.000       0.032873      -0.018304       0.398036
   -4928.000       0.032387      -0.009467       0.400612
   -4927.000       0.031799      -0.000184       0.403370
   -4926.000       0.031258       0.008819       0.406233
   -4925.000       0.030653       0.016690       0.409126
   -4924.000       0.029967       0.022778       0.411975
   -4923.000       0.029341       0.026785       0.414700
   -4922.000       0.028665       0.028408       0.417230
   -4921.000       0.027868       0.027554       0.419505
   -4920.000       0.027202       0.024686       0.421454
   -4919.000       0.026400       0.019907       0.423031
   -4918.000       0.025617       0.013861       0.424193
   -4917.000       0.024820       0.007136       0.424900
   -4916.000       0.024009       0.000280       0.425134
   -4915.000       0.023183      -0.006193       0.424885
   -4914.000       0.022325      -0.011597       0.424148
   -4913.000       0.021464      -0.015794       0.422941
   -4912.000       0.020627      -0.018420       0.421287
   -4911.000       0.019699      -0.019349       0.419217
   -4910.000       0.018809      -0.018735       0.416784
   -4909.000       0.017944      -0.016766       0.414041
   -4908.000       0.016975      -0.013584       0.411048
   -4907.000       0.016098      -0.009780       0.407886
   -4906.000       0.015174      -0.005627       0.404631
   -4905.000       0.014269      -0.001449       0.401361
   -4904.000       0.013359       0.002226       0.398173
   -4903.000       0.012455       0.005250       0.395150
   -4902.000       0.011613       0.007539       0.392373
   -4901.000       0.010716       0.008799       0.389929
   -4900.000       0.009893       0.009299       0.387887
   -4899.000       0.009124       0.009078       0.386304
   -4898.000       0.008354       0.008272       0.385233
   -4897.000       0.007637       0.007119       0.384696
   -4896.000       0.007086       0.005932       0.384706
   -4895.000       0.006486       0.004583       0.385262
   -4894.000       0.006082       0.003460       0.386333
   -4893.000       0.005779       0.002474       0.387879
   -4892.000       0.005586       0.001539       0.389852
   -4891.000       0.005532       0.000698       0.392179
   -4890.000       0.005639      -0.000099       0.394791
   -4889.000       0.005815      -0.001121       0.397610
   -4888.000       0.006123      -0.002179       0.400553
   -4887.000       0.006466      -0.003393       0.403542
   -4886.000       0.006908      -0.004780       0.406504
   -4885.000       0.007341      -0.006085       0.409362
   -4884.000       0.007799      -0.007281       0.412054
   -4883.000       0.008303      -0.008237       0.414525
   -4882.000       0.008772      -0.008716       0.416720
   -4881.000       0.009194      -0.008581       0.418601
   -4880.000       0.009701      -0.007913       0.420139
   -4879.000       0.010093      -0.006429       0.421303
   -4878.000       0.010481      -0.004350       0.422086
   -4877.000       0.010888      -0.001788       0.422483
   -4876.000       0.011218       0.001196       0.422494
   -4875.000       0.011548       0.004294       0.422135
   -4874.000       0.011823       0.007143       0.421427
   -4873.000       0.012121       0.009721       0.420394
   -4872.000       0.012349       0.011541       0.419069
   -4871.000       0.012539       0.012493       0.417490
   -4870.000       0.012749       0.012501       0.415692
   -4869.000       0.012920       0.011464       0.413722
   -4868.000       0.012991       0.009375       0.411621
   -4867.000       0.013154       0.006571       0.409434
   -4866.000       0.013203       0.003082       0.407209
   -4865.000       0.013241      -0.000704       0.404989
   -4864.000       0.013284      -0.004420       0.402818
   -4863.000       0.013252      -0.007784       0.400741
   -4862.000       0.013261      -0.010557       0.398798
   -4861.000       0.013146      -0.012286       0.397023
   -4860.000       0.013090      -0.013056       0.395453
   -4859.000       0.012994      -0.012677       0.394114
   -4858.000       0.012807      -0.011182       0.393029
   -4857.000       0.012679      -0.008801       0.392217
   -4856.000       0.012510      -0.005761       0.391690
   -4855.000       0.012273      -0.002232       0.391454
   -4854.000       0.012079       0.001274       0.391510
   -4853.000       0.011847       0.004570       0.391855
   -4852.000       0.011585       0.007373       0.392475
   -4851.000       0.011344       0.009404       0.393356
   -4850.000       0.011022       0.010508       0.394478
   -4849.000       0.010800       0.010798       0.395813
   -4848.000       0.010439       0.010062       0.397336
   -4847.000       0.010140       0.008616       0.399012
   -4846.000       0.009868       0.006588       0.400809
   -4845.000       0.009503       0.004103       0.402690
   -4844.000       0.009170       0.001504       0.404618
   -4843.000       0.008903      -0.000979       0.406552
   -4842.000       0.008515      -0.003276       0.408455
   -4841.000       0.008206      -0.005079       0.410286
   -4840.000       0.007853      -0.006331       0.412006
   -4839.000       0.007516      -0.007045       0.413579
   -4838.000       0.007153      -0.007126       0.414970
   -4837.000       0.006774      -0.006669       0.416144
   -4836.000       0.006435      -0.005793       0.417076
   -4835.000       0.006053      -0.004593       0.417738
   -4834.000       0.005645      -0.003142       0.418113
   -4833.000       0.005311      -0.001745       0.418186
   -4832.000       0.004913      -0.000330       0.417949
   -4831.000       0.004495       0.000877       0.417399
   -4830.000       0.004157       0.001794       0.416545
   -4829.000       0.003727       0.002426       0.415396
   -4828.000       0.003353       0.002768       0.413973
   -4827.000       0.002928       0.002732       0.412307
   -4826.000       0.002550       0.002534       0.410430
   -4825.000       0.002143       0.002125       0.408388
