K: Elderfield et al. chronology (ky)
L: Elderfield et al. SL probability maximum (m; shifted so mean of last three ky = 0)
M: Elderfield et al. upper bound of 95% probability interval for SL probability maximum (m)
N: Elderfield et al. lower bound of 95% probability interval for SL probability maximum (m)

t Elderfield	PM	PMtop95%	PMbot95%
7	3.999	17.949	-9.951
8	1.279	15.087	-12.529
9	-5.278	8.385	-18.94
10	-17.474	-3.608	-31.341
11	-33.001	-19.031	-46.971
12	-47.282	-33.353	-61.212
13	-58.491	-44.74	-72.242
14	-68.441	-54.796	-82.087
15	-78.504	-64.796	-92.212
16	-87.557	-73.947	-101.167
17	-94.093	-80.599	-107.587
18	-98.133	-84.822	-111.444
19	-100.461	-87.16	-113.761
20	-101.404	-87.967	-114.84
21	-101.453	-87.928	-114.977
22	-102.074	-88.591	-115.557
23	-104.319	-90.85	-117.788
24	-106.861	-93.544	-120.178
25	-106.98	-93.778	-120.181
26	-103.511	-90.253	-116.769
27	-97.827	-84.48	-111.174
28	-92.256	-78.899	-105.613
29	-88.122	-74.684	-101.56
30	-85.388	-71.951	-98.824
31	-84.024	-70.62	-97.429
32	-84.848	-71.438	-98.259
33	-88.169	-74.827	-101.511
34	-92.207	-78.887	-105.527
35	-93.916	-80.639	-107.193
36	-91.65	-78.355	-104.945
37	-86.503	-73.156	-99.85
38	-80.543	-67.194	-93.891
39	-74.892	-61.53	-88.253
40	-70.087	-56.694	-83.48
41	-66.773	-53.35	-80.196
42	-65.494	-52.07	-78.919
43	-66.216	-52.778	-79.653
44	-68.046	-54.678	-81.415
45	-69.767	-56.376	-83.159
46	-70.943	-57.57	-84.317
47	-72.111	-58.801	-85.422
48	-73.474	-60.148	-86.799
49	-74.185	-60.833	-87.537
50	-73.897	-60.435	-87.36
51	-74.079	-60.642	-87.515
52	-76.298	-62.959	-89.637
53	-80.17	-66.908	-93.432
54	-84.157	-70.929	-97.386
55	-87.203	-73.921	-100.484
56	-88.944	-75.644	-102.244
57	-89.076	-75.757	-102.396
58	-87.267	-73.908	-100.625
59	-83.897	-70.496	-97.298
60	-80.077	-66.681	-93.472
61	-76.474	-63.073	-89.875
62	-73.088	-59.661	-86.516
63	-70.167	-56.716	-83.619
64	-68.315	-54.813	-81.817
65	-67.762	-54.366	-81.159
66	-67.177	-53.811	-80.543
67	-63.462	-50.07	-76.854
68	-55.11	-41.502	-68.718
69	-44.901	-31.229	-58.573
