O: Miller et al./Naish et al. chronology (ky)
P: Miller et al./Naish et al. mean SL from sequence-stratigraphy-based amplitude scaling of the Lisiecki and Raymo (2005) benthic O-isotope stack (m; 20 m added for absolute value match)
Q: Miller et al./Naish et al. minimum SL from sequence-stratigraphy-based amplitude scaling of the Lisiecki and Raymo (2005) benthic O-isotope stack (m; 20 m added for absolute value match)
R: Miller et al./Naish et al. maximum SL from sequence-stratigraphy-based amplitude scaling of the Lisiecki and Raymo (2005) benthic O-isotope stack (m; 20 m added for absolute value match)

t Miller/Naish	SL+20	minSL+20	plusSL+20
2297.5	13.45454545	3.454545455	23.45454545
2300	12.72727273	2.727272727	22.72727273
2302.5	6.909090909	-3.090909091	16.90909091
2305	7.636363636	-2.363636364	17.63636364
2307.5	1.818181818	-8.181818182	11.81818182
2310	-11.27272727	-21.27272727	-1.272727273
2312.5	-17.81818182	-27.81818182	-7.818181818
2315	-20.72727273	-30.72727273	-10.72727273
2317.5	-21.45454545	-31.45454545	-11.45454545
2320	-22.18181818	-32.18181818	-12.18181818
2322.5	-10.54545455	-20.54545455	-0.545454545
2325	-4.727272727	-14.72727273	5.272727273
2327.5	-13.45454545	-23.45454545	-3.454545455
2330	-13.45454545	-23.45454545	-3.454545455
2332.5	-4.727272727	-14.72727273	5.272727273
2335	4.727272727	-5.272727273	14.72727273
2337.5	12	2	22
2340	18.54545455	8.545454545	28.54545455
2342.5	9.090909091	-0.909090909	19.09090909
2345	6.181818182	-3.818181818	16.18181818
2347.5	14.90909091	4.909090909	24.90909091
2350	-9.090909091	-19.09090909	0.909090909
2352.5	-19.27272727	-29.27272727	-9.272727273
2355	-25.09090909	-35.09090909	-15.09090909
2357.5	-36.72727273	-46.72727273	-26.72727273
2360	-33.81818182	-43.81818182	-23.81818182
2362.5	-22.18181818	-32.18181818	-12.18181818
2365	-30.18181818	-40.18181818	-20.18181818
2367.5	-12.72727273	-22.72727273	-2.727272727
2370	-19.27272727	-29.27272727	-9.272727273
2372.5	-12.72727273	-22.72727273	-2.727272727
2375	4.727272727	-5.272727273	14.72727273
