C: Wang et al. stack probabilistic analysis Med RSL chronology (ky)
D: Wang et al. stack probabilistic analysis Med RSL MEDIAN (m; shifted so mean of last three ky =0)
E: Wang et al. stack probabilistic analysis Med RSL upper bound 95% probability interval for the median (~equivalent to 2se)
F: Wang et al. stack probabilistic analysis Med RSL lower bound 95% probability interval for the median (~equivalent to 2se)

t Wang Med RSL	MEDIAN	MEDIAN_t95%	 MEDIAN_b95%
0	-1.34725	4.92775	-7.62325
1	0.24675	6.44775	-5.95525
2	1.02875	7.22375	-5.16625
3	0.07175	6.25375	-6.11025
4	-2.18025	3.98875	-8.34825
5	-3.60925	2.54075	-9.75825
6	-5.76325	0.40375	-11.93025
7	-7.57225	-1.38625	-13.75825
8	-8.84825	-2.61325	-15.08325
9	-10.94725	-4.67925	-17.21425
10	-14.78225	-8.44825	-21.11625
11	-20.48225	-14.16425	-26.79925
12	-28.99025	-22.74325	-35.23725
13	-38.59725	-32.37825	-44.81725
14	-46.99725	-40.77225	-53.22125
15	-59.68725	-53.39925	-65.97525
16	-71.84425	-65.43225	-78.25525
17	-86.02125	-79.68525	-92.35725
18	-99.16325	-92.79625	-105.53025
19	-110.05925	-103.78125	-116.33725
20	-114.08725	-107.85325	-120.32025
21	-119.23525	-112.96525	-125.50525
22	-119.91025	-113.59325	-126.22825
23	-119.38225	-113.08525	-125.67925
24	-120.11225	-113.85225	-126.37325
25	-117.65625	-111.35625	-123.95525
26	-116.71525	-110.42725	-123.00325
27	-111.68025	-105.47225	-117.88925
28	-112.01125	-105.69025	-118.33225
29	-111.57525	-105.33025	-117.82025
30	-113.70325	-107.45125	-119.95525
31	-111.39225	-105.16925	-117.61425
32	-108.58425	-102.38425	-114.78425
33	-106.00025	-99.69425	-112.30625
34	-97.49525	-91.27625	-103.71525
35	-94.10125	-87.88525	-100.31825
36	-95.16125	-88.95925	-101.36325
37	-100.06625	-93.77825	-106.35425
38	-101.56825	-95.33025	-107.80625
39	-100.66925	-94.47825	-106.86025
40	-97.51325	-91.28325	-103.74425
41	-91.97725	-85.76425	-98.18925
42	-84.32025	-78.06625	-90.57425
43	-77.55725	-71.26625	-83.84725
44	-71.16525	-64.94525	-77.38525
45	-66.44025	-60.22925	-72.65025
46	-62.94325	-56.71025	-69.17625
47	-59.44625	-53.28525	-65.60625
48	-58.76725	-52.56125	-64.97325
49	-57.95925	-51.76725	-64.15225
50	-59.95725	-53.73325	-66.18125
51	-61.50325	-55.23825	-67.76925
52	-62.37725	-56.13925	-68.61425
