I: Sosdian and Rosenthal chronology (ky)
J: Sosdian and Rosenthal SL (m)

t S&R	SL S&R
153.5	-48.2
154.8	-33.2
157.2	-73.7
162.0	-23.2
171.5	-18.6
173.6	-21.6
179.5	-49.5
183.1	-48.6
187.6	-60.1
191.5	-51.5
194.2	-20.2
197.2	20.8
200.3	-6.6
205.8	11.3
211.3	34.1
226.3	-56.7
235.1	-18.3
243.3	-6.2
248.5	-107.7
255.2	-165.0
258.3	-113.0
263.9	-25.1
270.2	-64.9
272.7	-67.8
274.5	-19.0
277.3	-28.2
279.3	-33.7
281.9	-49.0
285.0	-71.9
292.1	-22.5
298.9	16.1
301.5	22.2
312.8	42.9
317.5	33.5
325.4	4.6
329.0	23.9
331.7	-71.8
342.9	-89.9
346.6	-72.1
350.0	-74.6
352.9	-87.8
357.6	-112.4
360.4	-18.9
362.4	-43.9
364.1	-22.7
368.5	-65.5
371.7	-33.4
374.8	19.0
378.7	-5.1
383.1	-3.6
386.4	-19.8
391.6	53.3
394.2	34.0
397.1	57.4
399.7	44.9
402.2	45.8
406.0	35.7
411.1	-4.9
417.0	-49.8
420.4	-45.3
422.5	-42.5
427.9	-85.8
430.5	-99.8
433.4	-75.5
436.6	-72.5
439.1	-77.4
441.8	-69.2
444.9	-82.2
448.7	-52.7
453.9	-51.3
458.7	-55.3
461.7	-44.4
465.7	-39.7
466.2	7.9
472.4	8.5
475.5	-37.7
480.8	-9.5
488.0	16.6
497.0	32.2
507.0	7.9
527.4	-20.4
536.1	-48.1
548.7	-68.0
561.3	-34.1
570.5	4.9
578.4	7.6
584.3	-23.9
588.7	-38.2
589.6	-56.7
598.2	-54.6
598.8	-15.0
601.9	22.5
602.2	-25.3
603.5	-41.9
604.2	8.8
606.2	1.3
607.6	-7.1
610.1	-43.2
611.5	11.7
612.7	25.5
614.0	-3.8
615.1	-15.1
616.4	42.5
618.9	-58.7
620.1	-69.7
625.4	-124.6
627.1	-116.5
631.3	-104.1
633.5	-111.3
637.9	-60.5
643.6	-57.2
646.4	-50.0
649.0	-71.0
657.7	-55.9
661.3	-39.6
670.3	-42.7
674.5	-22.3
682.2	-3.8
685.3	8.1
688.3	3.7
691.4	-17.3
694.4	-11.3
697.6	-27.6
703.6	2.0
707.3	-66.7
711.1	-15.6
715.0	-43.9
718.6	-54.6
724.5	-55.1
727.8	-55.8
731.2	-37.3
734.5	-42.9
737.8	-34.7
741.1	-53.7
746.8	-32.6
753.4	-46.0
757.4	-44.0
762.2	-26.8
775.1	-35.7
781.6	-31.9
786.2	-51.7
789.5	-66.9
794.1	-55.6
802.4	-65.4
805.5	-36.6
812.3	-15.3
821.8	9.8
827.1	11.7
832.9	-30.4
845.5	-1.4
851.1	39.9
863.1	30.7
869.2	-77.2
872.8	-58.6
880.6	-44.7
888.3	10.0
902.3	-77.8
908.0	-33.1
910.9	-34.3
913.3	-38.4
916.0	-22.6
924.7	40.2
928.0	4.9
932.0	13.4
935.8	2.8
939.1	34.4
942.2	8.3
945.3	10.5
