G: deBoer et al. chronology (ky)
H: deBoer et al. SL (m; relative to present)

t deBoer 	SL de Boer
0.00	-2.041
0.10	-2.006
0.20	-1.972
0.30	-1.94
0.40	-1.904
0.50	-1.863
0.60	-1.815
0.70	-1.761
0.80	-1.707
0.90	-1.654
1.00	-1.605
1.10	-1.559
1.20	-1.516
1.30	-1.464
1.40	-1.41
1.50	-1.36
1.60	-1.313
1.70	-1.272
1.80	-1.233
1.90	-1.187
2.00	-1.136
2.10	-1.09
2.20	-1.06
2.30	-1.035
2.40	-1.013
2.50	-0.991
2.60	-0.965
2.70	-0.932
2.80	-0.909
2.90	-0.889
3.00	-0.865
3.10	-0.877
3.20	-0.909
3.30	-0.962
3.40	-1.013
3.50	-1.067
3.60	-1.15
3.70	-1.234
3.80	-1.327
3.90	-1.462
4.00	-1.588
4.10	-1.767
4.20	-1.91
4.30	-2.141
4.40	-2.396
4.50	-2.62
4.60	-2.915
4.70	-3.24
4.80	-3.504
4.90	-3.812
5.00	-4.071
5.10	-4.401
5.20	-4.636
5.30	-4.975
5.40	-5.202
5.50	-5.535
5.60	-5.749
5.70	-5.977
5.80	-6.278
5.90	-6.464
6.00	-6.674
6.10	-6.863
6.20	-7.145
6.30	-7.336
6.40	-7.49
6.50	-7.671
6.60	-7.958
6.70	-8.084
6.80	-8.18
6.90	-8.341
7.00	-8.478
7.10	-8.574
7.20	-8.669
7.30	-8.835
7.40	-8.972
7.50	-9.078
7.60	-9.183
7.70	-9.357
7.80	-9.566
7.90	-9.708
8.00	-9.993
8.10	-10.162
8.20	-10.421
8.30	-10.671
8.40	-10.933
8.50	-11.159
8.60	-11.609
8.70	-11.95
8.80	-12.358
8.90	-12.899
9.00	-13.477
9.10	-14.156
9.20	-14.728
9.30	-15.071
9.40	-15.463
9.50	-15.851
9.60	-16.273
9.70	-16.695
9.80	-17.15
9.90	-17.619
10.00	-18.119
10.10	-18.625
10.20	-19.16
10.30	-19.701
10.40	-20.26
10.50	-20.888
10.60	-21.456
10.70	-22.126
10.80	-22.788
10.90	-23.428
11.00	-24.205
11.10	-24.92
11.20	-25.653
11.30	-26.493
11.40	-27.281
11.50	-28.113
11.60	-29.033
11.70	-29.946
11.80	-30.88
11.90	-31.861
12.00	-32.891
12.10	-33.909
12.20	-35.011
12.30	-36.121
12.40	-37.216
12.50	-38.347
12.60	-39.544
12.70	-40.701
12.80	-41.82
12.90	-43.03
13.00	-44.235
13.10	-45.381
13.20	-46.592
13.30	-47.791
13.40	-48.982
13.50	-50.216
13.60	-51.34
13.70	-52.629
13.80	-53.812
13.90	-54.953
14.00	-56.184
14.10	-57.301
14.20	-58.38
14.30	-59.481
14.40	-60.452
14.50	-61.473
14.60	-62.308
14.70	-63.298
14.80	-64.188
14.90	-65.064
15.00	-66.03
15.10	-66.979
15.20	-67.874
15.30	-68.871
15.40	-69.793
15.50	-70.774
15.60	-71.799
15.70	-72.641
15.80	-73.672
15.90	-74.53
16.00	-75.434
16.10	-76.361
16.20	-77.25
16.30	-78.142
16.40	-78.861
16.50	-79.766
16.60	-80.635
16.70	-81.528
16.80	-82.247
16.90	-83.026
17.00	-83.799
17.10	-84.526
17.20	-85.397
17.30	-85.992
17.40	-86.799
17.50	-87.427
17.60	-88.186
17.70	-88.879
17.80	-89.537
17.90	-90.304
18.00	-90.914
18.10	-91.639
18.20	-92.288
18.30	-92.862
18.40	-93.492
18.50	-94.079
18.60	-94.557
18.70	-94.959
18.80	-95.541
18.90	-95.932
19.00	-96.267
19.10	-96.587
19.20	-96.793
19.30	-96.927
19.40	-97.068
19.50	-97.219
19.60	-97.381
19.70	-97.432
19.80	-97.48
19.90	-97.529
20.00	-97.576
20.10	-97.623
20.20	-97.669
20.30	-97.714
20.40	-97.759
20.50	-97.795
20.60	-97.823
20.70	-97.844
20.80	-97.858
20.90	-97.865
21.00	-97.861
21.10	-97.849
21.20	-97.82
21.30	-97.779
21.40	-97.716
21.50	-97.632
21.60	-97.515
21.70	-97.363
21.80	-97.174
21.90	-96.966
22.00	-96.749
22.10	-96.525
22.20	-96.307
22.30	-95.997
22.40	-95.742
22.50	-95.496
22.60	-95.305
22.70	-95.11
22.80	-94.916
22.90	-94.644
23.00	-94.416
23.10	-94.154
23.20	-93.863
23.30	-93.534
23.40	-93.213
23.50	-92.869
23.60	-92.666
23.70	-92.456
23.80	-92.229
23.90	-91.923
24.00	-91.661
24.10	-91.363
24.20	-91.031
24.30	-90.718
24.40	-90.391
24.50	-90.207
24.60	-90.024
24.70	-89.81
24.80	-89.63
24.90	-89.407
25.00	-89.143
25.10	-88.846
25.20	-88.516
25.30	-88.218
25.40	-87.914
25.50	-87.744
25.60	-87.578
25.70	-87.395
25.80	-87.254
25.90	-87.072
26.00	-86.844
26.10	-86.577
26.20	-86.277
26.30	-85.945
26.40	-85.64
26.50	-85.331
26.60	-85.159
26.70	-84.99
26.80	-84.807
26.90	-84.663
27.00	-84.477
27.10	-84.248
27.20	-83.982
27.30	-83.684
27.40	-83.361
27.50	-83.06
27.60	-82.734
27.70	-82.617
27.80	-82.529
27.90	-82.434
28.00	-82.322
28.10	-82.19
28.20	-82.052
28.30	-81.917
28.40	-81.796
28.50	-81.712
28.60	-81.686
